DATE,USPRIV
1939-01-01,26604.916666666667
1940-01-01,28158.500000000000
1941-01-01,31882.083333333333
1942-01-01,34637.833333333333
1943-01-01,36370.166666666667
1944-01-01,35828.166666666667
1945-01-01,34420.916666666667
1946-01-01,36032.083333333333
1947-01-01,38353.666666666667
1948-01-01,39193.916666666667
1949-01-01,37885.666666666667
1950-01-01,39163.333333333333
1951-01-01,41424.833333333333
1952-01-01,42176.833333333333
1953-01-01,43547.166666666667
1954-01-01,42229.333333333333
1955-01-01,43715.500000000000
1956-01-01,45082.166666666667
1957-01-01,45232.333333333333
1958-01-01,43479.166666666667
1959-01-01,45180.416666666667
1960-01-01,45829.000000000000
1961-01-01,45396.166666666667
1962-01-01,46653.500000000000
1963-01-01,47424.000000000000
1964-01-01,48681.666666666667
1965-01-01,50685.666666666667
1966-01-01,53112.083333333333
1967-01-01,54407.333333333333
1968-01-01,56051.250000000000
1969-01-01,58181.750000000000
1970-01-01,58317.916666666667
1971-01-01,58317.500000000000
1972-01-01,60321.583333333333
1973-01-01,63038.750000000000
1974-01-01,64079.666666666667
1975-01-01,62251.833333333333
1976-01-01,64507.166666666667
1977-01-01,67339.583333333333
1978-01-01,71014.916666666667
1979-01-01,73864.833333333333
1980-01-01,74155.833333333333
1981-01-01,75112.916666666667
1982-01-01,73704.416666666667
1983-01-01,74279.750000000000
1984-01-01,78385.250000000000
1985-01-01,80996.916666666667
1986-01-01,82660.250000000000
1987-01-01,84958.416666666667
1988-01-01,87835.916666666667
1989-01-01,90120.000000000000
1990-01-01,91116.250000000000
1991-01-01,89889.333333333333
1992-01-01,90007.416666666667
1993-01-01,91939.083333333333
1994-01-01,95109.750000000000
1995-01-01,97975.583333333333
1996-01-01,100292.250000000000
1997-01-01,103272.166666666667
1998-01-01,106226.666666666667
1999-01-01,108914.000000000000
2000-01-01,111227.416666666667
2001-01-01,110959.583333333333
2002-01-01,109127.333333333333
2003-01-01,108747.750000000000
2004-01-01,110139.416666666667
2005-01-01,112218.333333333333
2006-01-01,114459.000000000000
2007-01-01,115758.083333333333
2008-01-01,114721.666666666667
2009-01-01,108736.083333333333
2010-01-01,107847.083333333333
2011-01-01,109828.833333333333
2012-01-01,112237.000000000000
2013-01-01,114508.416666666667
2014-01-01,117047.166666666667
2015-01-01,119777.250000000000
2016-01-01,122102.416666666667
2017-01-01,124259.833333333333
2018-01-01,126445.083333333333
2019-01-01,128282.333333333333
2020-01-01,120163.416666666667
2021-01-01,124102.416666666667
2022-01-01,.
