DATE,PITT342PCPI
1969-01-01,3819
1970-01-01,4091
1971-01-01,4306
1972-01-01,4673
1973-01-01,5137
1974-01-01,5762
1975-01-01,6371
1976-01-01,6960
1977-01-01,7693
1978-01-01,8484
1979-01-01,9452
1980-01-01,10426
1981-01-01,11562
1982-01-01,12224
1983-01-01,12548
1984-01-01,13459
1985-01-01,14201
1986-01-01,14786
1987-01-01,15522
1988-01-01,16917
1989-01-01,18213
1990-01-01,19481
1991-01-01,20318
1992-01-01,21298
1993-01-01,21975
1994-01-01,22711
1995-01-01,23659
1996-01-01,24808
1997-01-01,26242
1998-01-01,27374
1999-01-01,28856
2000-01-01,30749
2001-01-01,31775
2002-01-01,32260
2003-01-01,33057
2004-01-01,34531
2005-01-01,36004
2006-01-01,38337
2007-01-01,40458
2008-01-01,42331
2009-01-01,41249
2010-01-01,43013
2011-01-01,45144
2012-01-01,46717
2013-01-01,47130
2014-01-01,49040
2015-01-01,51086
2016-01-01,51720
2017-01-01,54348
2018-01-01,58000
2019-01-01,59494
2020-01-01,63675
