year,q_wages_dollars
1990-01-01,5768110584.5637900
1990-04-01,5889907961.8100700
1990-07-01,5914617123.2766700
1990-10-01,5934031259.8012700
1991-01-01,5991184059.6819000
1991-04-01,6073466947.6202600
1991-07-01,6110753451.8332500
1991-10-01,6114554069.6236300
1992-01-01,6332802914.1388100
1992-04-01,6387954692.0171400
1992-07-01,6442484341.8405300
1992-10-01,6713775384.3060200
1993-01-01,6373678796.2026300
1993-04-01,6617020331.2216600
1993-07-01,6723256511.6562500
1993-10-01,6920761959.8410700
1994-01-01,6681078820.2994600
1994-04-01,6813343399.6585200
1994-07-01,7084195616.1598200
1994-10-01,6977983497.9367200
1995-01-01,7139415911.1519700
1995-04-01,7168267216.3258200
1995-07-01,7203054518.3316300
1995-10-01,7272817982.1393700
1996-01-01,7477427530.3529800
1996-04-01,7481281321.0317800
1996-07-01,7457988010.8261700
1996-10-01,7652562205.4743700
1997-01-01,7822460361.6678100
1997-04-01,7836763626.3570700
1997-07-01,7976984541.8627900
1997-10-01,8158705834.6990400
1998-01-01,8111222434.9696100
1998-04-01,8315704762.2732800
1998-07-01,8291425563.5870300
1998-10-01,8644871089.6426300
1999-01-01,8484219176.3204900
1999-04-01,8887562577.5884300
1999-07-01,9141709963.6997800
1999-10-01,9205025747.4765100
2000-01-01,9279261817.2635300
2000-04-01,9167371011.3267500
2000-07-01,9245624077.8770000
2000-10-01,9351191392.1802200
2001-01-01,9718079480.5444100
2001-04-01,9614592191.8395600
2001-07-01,9591149272.8395100
2001-10-01,9531789130.5204100
2002-01-01,9640983926.8910600
2002-04-01,9671973037.5342000
2002-07-01,9708604851.0721400
2002-10-01,9708912150.4716300
2003-01-01,9702869040.0443800
2003-04-01,9770035113.5380900
2003-07-01,9833712452.0404500
2003-10-01,9975728583.2763600
2004-01-01,9962903644.7641400
2004-04-01,10094150243.1786000
2004-07-01,10267843567.1057000
2004-10-01,10606036693.1297000
2005-01-01,10062236648.7568000
2005-04-01,10469449650.7309000
2005-07-01,10841366432.1522000
2005-10-01,10643202041.0004000
2006-01-01,10874198627.4409000
2006-04-01,11056921694.2400000
2006-07-01,11082247294.6581000
2006-10-01,11306197937.7355000
2007-01-01,11717790356.7623000
2007-04-01,11674083070.9551000
2007-07-01,11789917931.6781000
2007-10-01,11818073355.3972000
2008-01-01,12078255803.3389000
2008-04-01,12161681857.7442000
2008-07-01,12090729605.5651000
2008-10-01,12143630913.3487000
2009-01-01,11816163720.3190000
2009-04-01,11695574745.8422000
2009-07-01,11623607206.1176000
2009-10-01,12113586474.3306000
2010-01-01,11516299021.3019000
2010-04-01,12126532485.2573000
2010-07-01,12272525727.9130000
2010-10-01,12695498843.3363000
2011-01-01,12379604518.1027000
2011-04-01,12813169447.8180000
2011-07-01,13243142499.1195000
2011-10-01,12779794113.0967000
2012-01-01,13408831658.1165000
2012-04-01,13236621371.2113000
2012-07-01,13345711391.2565000
2012-10-01,13520026889.2695000
2013-01-01,13510100394.3334000
2013-04-01,13698777898.9054000
2013-07-01,13600743419.5209000
2013-10-01,13704461963.5278000
2014-01-01,13905294452.9735000
2014-04-01,13877867220.0606000
2014-07-01,13970107609.8842000
2014-10-01,14196457056.6749000
2015-01-01,14728789721.3464000
2015-04-01,14300088869.5772000
2015-07-01,14361776051.1601000
2015-10-01,14895759288.7955000
2016-01-01,13865741522.7608000
2016-04-01,14424809893.7692000
2016-07-01,15011981270.0469000
2016-10-01,14742886240.5155000
2017-01-01,14923443213.1589000
2017-04-01,15058164546.8880000
2017-07-01,14983991605.0102000
2017-10-01,15348561993.1903000
2018-01-01,15617246225.0585000
2018-04-01,15790256075.5215000
2018-07-01,15723923771.9241000
2018-10-01,15776521585.5943000
2019-01-01,16159816814.7272000
2019-04-01,16475600300.9673000
2019-07-01,16427062169.9521000
2019-10-01,16365145875.0941000
2020-01-01,16850773559.5347000
2020-04-01,15059805937.1218000
2020-07-01,15840074683.9617000
2020-10-01,16498619540.5105000
2021-01-01,16273820497.2004000
2021-04-01,17046031946.5473000
2021-07-01,17236961318.2388000
2021-10-01,17696779339.6472000
2022-01-01,17537615919.8150000
