year,priv_con_member_percent,priv_man_member_percent,private_member_percent,public_member_percent,total_member_percent,priv_con_coverage_percent,priv_man_coverage_percent,priv_coverage_percent,public_coverage_percent,total_coverage_percent,,
1986,26.6,33.4,17.6,50.1,22,29.6,34.5,19,59.2,24.4,,
1987,28.8,34.3,17.8,49.2,22,30.3,35.7,19.1,57.8,24.3,,
1988,23.8,31.9,16.8,48.5,21.1,24.6,33.2,18.2,55.6,23.3,,
1989,24.1,30.7,16.4,50.3,20.9,25.9,32.4,18,58.2,23.4,,
1990,25.6,28.4,15.6,50.9,20.4,27.3,30,17.2,57.6,22.7,,
1991,30,28.6,15.5,50.2,20.3,31.2,29.5,16.6,57,22.2,,
1992,27.5,26.8,14.4,51.1,19.6,28.1,27.7,15.5,58.9,21.6,,
1993,23,24.6,13.8,52,19,24.2,25.5,15,59.5,21,,
1994,22.1,26.5,14.3,55.4,19.6,23.1,27.5,15.3,60.5,21.2,,
1995,24.8,26.7,14.1,52.5,18.9,25.5,27.6,15.3,58.5,20.7,,
1996,27.3,22.9,12.8,50,17.7,27.3,24.4,13.9,56.8,19.5,,
1997,23.9,21.6,11.8,51.4,17.1,25,22,12.4,55.7,18.2,,
1998,26.7,20,11.5,50.8,16.3,27.5,20.6,12.4,55.5,17.7,,
1999,28.4,21.2,11.9,54.9,17.4,30,22,12.7,59.2,18.6,,
2000,23.4,18.5,11.2,54.7,16.9,23.7,19,11.8,59,18,,
2001,22.9,19.9,11.1,56.9,17.1,23.9,20.6,11.7,62.5,18.4,,
2002,24.8,17.6,10,55.3,15.7,26.4,18,10.6,59.1,16.7,,
2003,21.4,18,9.4,53.3,15.1,21.4,18.6,9.9,57.6,16.1,,
2004,20,19.2,9.7,49.1,15,20,19.6,10.1,53.1,15.9,,
2005,20.1,16,8.5,48.5,13.8,21.3,16.7,9.1,53.7,15,,
2006,16.5,13.7,8,51,13.6,16.5,13.9,8.7,54.7,14.7,,
2007,17.2,17.2,9.7,51.9,15.1,17.6,17.6,10.6,56.8,16.6,,
2008,20.2,13.3,10.3,52.9,15.4,20.5,13.8,10.8,56.6,16.3,,
2009,20.3,15.3,9.4,53.4,15,20.3,15.9,10.1,58.2,16.2,,
2010,26.5,11.7,9.3,49.9,14.7,27.8,12.2,10.1,53.4,15.9,,
2011,25.4,13,9.3,51.8,14.5,26.3,13.3,10,56.6,15.8,,
2012,20.4,10.5,7.8,54.6,13.4,20.8,11.4,8.5,57.7,14.4,,
2013,23.9,9.8,7.8,50.5,12.7,24.3,10.5,8.3,54.4,13.7,,
2014,19.2,12.7,7.7,52.7,12.7,20.6,13.3,8.4,55.9,13.6,,
2015,20.7,16,8.6,49.9,13.3,21.1,16.2,9.1,54.7,14.4,,
2016,17.1,13.3,7.4,49.8,12.1,17.5,14,7.8,52.4,12.7,,
2017,21.7,12.3,7.4,49.8,12,22.4,12.7,7.9,55.3,13,,
2018,26.3,12.2,8,53,12.5,27.6,12.2,8.4,58.3,13.4,,
2019,21.9,11.8,7.1,52.6,12,21.9,12.5,7.9,56.8,13.1,,
2020,21.7,13,8.2,53.8,13.5,22.9,13,8.9,57.3,14.6,,
2021,27.2,10.5,7.3,53.3,12.9,27.9,11,7.7,55.7,13.6,,
,,,,,,,,,,,,
,,,,,,,,,,,,
